client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
Dexcom,139640,https://www.lobbying.ie/return/139640,Vulcan Consulting Limited,Health,"Albert Dolan, Ann Graves, Anne Rabbitte, Barry Heneghan, Barry Ward, Cathal Crowe, Charles Ward, Claire Kerrane, Colm Burke, Conor Sheehan, David Cullinane, Duncan Smith, Eoghan Kenny, Erin McGreehan, Gareth Scahill, Ged Nash, Joe Cooney, John Connolly, Mairéad Farrell, Malcolm Byrne, Manus Boyle, Marie Sherlock, Martin Daly, Michael Collins, Nicole Ryan, Noel O'Donovan, Padráig Mac Lochlainn, Pat the Cope Gallagher, Pearse Doherty, Pádraig Rice, Roderic O'Gorman, Ruairí Ó Murchú, Seán Kyne, Shane Curley, Tom Clonan",35,2026-01-01T00:00:00.000000
Dexcom,129587,https://www.lobbying.ie/return/129587,Vulcan Consulting Limited,Health,"Maria Walsh, Nina Carberry",2,2025-05-01T00:00:00.000000
Dexcom,123579,https://www.lobbying.ie/return/123579,Vulcan Consulting Limited,Health,"Albert Dolan, Barry Cowen, Louis O'Hara, Mairéad Farrell, Maria Walsh, Martin Daly, Nina Carberry, Noel Grealish, Peter Roche, Sean Canney",10,2025-01-01T00:00:00.000000
Dexcom,120109,https://www.lobbying.ie/return/120109,Vulcan Consulting Limited,Health,"Albert Dolan, Ciaran Cannon, Clodagh Higgins, Colm Burke, John Connolly, Louis O'Hara, Mairéad Farrell, Maria Byrne, Maria Walsh, Martin Daly, Martin Kenny, Nina Carberry, Noel Thomas, Peadar Tóibín, Peter Roche, Richard Bruton",16,2024-09-01T00:00:00.000000
Dexcom,95785,https://www.lobbying.ie/return/95785,Vulcan Consulting Limited,Health,Maria Byrne,1,2023-01-01T00:00:00.000000
Dexcom Ltd,114873,https://www.lobbying.ie/return/114873,Vulcan Consulting Limited,Health,"Colm Burke, Hildegarde Naughton, Ian Hutchinson, Mairéad Farrell, Maria Byrne, Muiris O’Connor, Noel Grealish, Peadar Tóibín, Richard Bruton, Seán Canney",10,2024-05-01T00:00:00.000000
Dexcom Ltd,110685,https://www.lobbying.ie/return/110685,Vulcan Consulting Limited,Health,"Anne Rabbitte, Ciaran Cannon, Colm Burke, Cormac Devlin, Dara Calleary, David Cullinane, Hildegarde Naughton, Josepha Madigan, Leo Varadkar, Mairéad Farrell, Maria Byrne, Noel Grealish, Peadar Tóibín, Seán Canney, Seán Kyne, Simon Coveney, Stephen Donnelly, Tim Lombard, Violet Anne Wynne",19,2024-01-01T00:00:00.000000
Dexcom Ltd,106164,https://www.lobbying.ie/return/106164,Vulcan Consulting Limited,Health,"Bernard Durkan, Colm Burke, Cormac Devlin, David Cullinane, Duncan Smith, Gerard Craughwell, Lorraine Clifford-Lee, Maria Byrne, Peadar Tóibín, Seán Canney, Tim Lombard, Willie O'Dea",12,2023-09-01T00:00:00.000000
Dexcom Ltd,102086,https://www.lobbying.ie/return/102086,Vulcan Consulting Limited,Health,"Colm Burke, Cormac Devlin, David Cullinane, Maria Byrne, Willie O'Dea",5,2023-05-01T00:00:00.000000
Diageo Ireland,66491,https://www.lobbying.ie/return/66491,Q4PR,Employment,Deirdre Gillane,1,2020-09-01T00:00:00.000000
Didean,76903,https://www.lobbying.ie/return/76903,Edelman Ireland,Children and Youth Affairs,Lynn Ruane,1,2021-05-01T00:00:00.000000
Didean,68144,https://www.lobbying.ie/return/68144,Edelman Ireland,Children and Youth Affairs,"David Stanton, Helen McEntee",2,2020-09-01T00:00:00.000000
Digital Infrastructure Ireland,119148,https://www.lobbying.ie/return/119148,Q4PR,Energy and Natural Resources,"Helen McEntee, Jack Chambers, Jean Carberry, Simon Harris",4,2024-09-01T00:00:00.000000
Digital Infrastructure Ireland,114277,https://www.lobbying.ie/return/114277,Q4PR,Energy and Natural Resources,"Barry Cowen, Brian Keegan, Peter Burke",3,2024-05-01T00:00:00.000000
Digital Infrastructure Ireland,109692,https://www.lobbying.ie/return/109692,Q4PR,Energy and Natural Resources,"Barry Cowen, Brian Murphy, Dara Calleary, Declan Hughes, Deirdre Gillane, Eamon Ryan, John Shaw, Martin Kenny, Michael McGrath, Micheál Martin, Oonagh Buckley, Ossian Smyth, Paschal Donohoe, Paul Kenny, Peter Burke, Simon Coveney, Simon Harris",17,2024-01-01T00:00:00.000000
Digital Infrastructure Ireland,105432,https://www.lobbying.ie/return/105432,Q4PR,Energy and Natural Resources,"Barry Cowen, Brian Murphy, Dara Calleary, Eamon Ryan, John Shaw, Leo Varadkar, Micheál Martin, Oonagh Buckley, Ossian Smyth, Paul Kenny, Simon Coveney",11,2023-09-01T00:00:00.000000
Digital Infrastructure Ireland ,135581,https://www.lobbying.ie/return/135581,Q4PR,Energy and Natural Resources,John Shaw,1,2025-09-01T00:00:00.000000
Digital Infrastructure Ireland ,135481,https://www.lobbying.ie/return/135481,Q4PR,Energy and Natural Resources,Aine Doyle,1,2025-09-01T00:00:00.000000
Digital Infrastructure Ireland ,129003,https://www.lobbying.ie/return/129003,Q4PR,Energy and Natural Resources,"Darragh O'Brien, Declan Hughes, Emer Higgins, Timmy Dooley",4,2025-05-01T00:00:00.000000
Digital Infrastructure Ireland ,125133,https://www.lobbying.ie/return/125133,Q4PR,Energy and Natural Resources,"David Flynn, Gary Tobin, Jack Chambers, John Shaw, Laura Burke, Paul Bolger",6,2025-01-01T00:00:00.000000
Digital Infrastructure Ireland ,125132,https://www.lobbying.ie/return/125132,Q4PR,Energy and Natural Resources,Micheál Martin,1,2025-01-01T00:00:00.000000
Digital Infrastructure Ireland ,125137,https://www.lobbying.ie/return/125137,Q4PR,Energy and Natural Resources,Pauric McPhillips,1,2025-01-01T00:00:00.000000
Digital Infrastructure Ireland ,125130,https://www.lobbying.ie/return/125130,Q4PR,Energy and Natural Resources,Simon Harris,1,2025-01-01T00:00:00.000000
Digital Infrastructure Ireland ,125135,https://www.lobbying.ie/return/125135,Q4PR,Energy and Natural Resources,"Darragh O'Brien, Declan Hughes, Emer Higgins, Jack Chambers, Micheál Martin, Niamh Smyth, Oonagh Buckley, Pauric McPhillips, Peter Burke, Simon Harris, Timmy Dooley",11,2025-01-01T00:00:00.000000
DocuSign Incorporated ,141187,https://www.lobbying.ie/return/141187,Access Partnership,EU Affairs,Regina Doherty,1,2026-01-01T00:00:00.000000
Dogs Trust Ireland,113939,https://www.lobbying.ie/return/113939,Edelman Ireland,Agriculture,Roderic O'Gorman,1,2024-05-01T00:00:00.000000
Dogs Trust Ireland,109620,https://www.lobbying.ie/return/109620,Edelman Ireland,Agriculture,"Alan Farrell, Annie Hoey, Brendan Howlin, Brendan Smith, Colm Burke, Cormac Devlin, Dara Calleary, Darren O'Rourke, David Stanton, Dessie Ellis, Diarmuid Wilson, Duncan Smith, Erin McGreehan, Fintan Warfield, Frank Feighan, Ivana Bacik, James Browne, Jennifer Whitmore, Jerry Buttimer, Jim O'Callaghan, Joan Collins, Joe McHugh, Joe O'Brien, John McGahon, John McGuinness, Lisa Chambers, Lynn Boylan, Mairéad Farrell, Maria Byrne, Martin Conway, Matt Shanahan, Maurice Quinlivan, Michael Collins, Michael Healy-Rae, Michael Ring, Neale Richmond, Neasa Hourigan, Niamh Smyth, Pa Daly, Paddy Burke, Paul Kehoe, Pauline O'Reilly, Pippa Hackett, Pádraig O'Sullivan, Regina Doherty, Richard O'Donoghue, Róisín Garvey, Róisín Shorthall, Rónán Mullen, Seán Haughey, Shane Cassells, Verona Murphy, Violet Anne Wynne",53,2024-01-01T00:00:00.000000
Dogs Trust Ireland,90494,https://www.lobbying.ie/return/90494,Instinctif Partners Public Affairs Ireland,Agriculture,"Helen McEntee, James Browne",2,2022-09-01T00:00:00.000000
Dogs Trust Ireland,90491,https://www.lobbying.ie/return/90491,Instinctif Partners Public Affairs Ireland,Agriculture,Neasa Hourigan,1,2022-09-01T00:00:00.000000
Dogs Trust Ireland,90489,https://www.lobbying.ie/return/90489,Instinctif Partners Public Affairs Ireland,Agriculture,"Brian Leddin, Jackie Cahill, Joe Flaherty, Lynn Boylan, Martin Browne, Matt Carthy, Michael Collins, Michael Fitzmaurice, Michael Ring, Paul Daly, Paul Kehoe, Victor Boyhan",12,2022-09-01T00:00:00.000000
Dogs Trust Ireland,90492,https://www.lobbying.ie/return/90492,Instinctif Partners Public Affairs Ireland,Agriculture,Peadar Tóibín,1,2022-09-01T00:00:00.000000
Dogs Trust Ireland,90488,https://www.lobbying.ie/return/90488,Instinctif Partners Public Affairs Ireland,Agriculture,"Jackie Cahill, Lynn Boylan, Paul Daly, Victor Boyhan",4,2022-09-01T00:00:00.000000
Dogs Trust Ireland,90487,https://www.lobbying.ie/return/90487,Instinctif Partners Public Affairs Ireland,Agriculture,"Brian Leddin, Charlie McConalogue, Eoin Ó Broin, Heather Humphreys, Holly Cairns, Jackie Cahill, Joan Collins, Lynn Boylan, Mick Barry, Neasa Hourigan, Patricia Ryan, Paul Daly, Paul Murphy, Pauline O'Reilly, Victor Boyhan",15,2022-09-01T00:00:00.000000
Dogs Trust Ireland,86414,https://www.lobbying.ie/return/86414,Instinctif Partners Public Affairs Ireland,Agriculture,Lynn Boylan,1,2022-05-01T00:00:00.000000
Dogs Trust Ireland,84659,https://www.lobbying.ie/return/84659,Instinctif Partners Public Affairs Ireland,Agriculture,"Brian Leddin, Denis O'Donovan, Emer Higgins, Gary Gannon, Jackie Cahill, Joe Flaherty, Lynn Boylan, Lynn Ruane, Martin Browne, Matt Carthy, Michael Collins, Michael Fitzmaurice, Michael Ring, Paul Daly, Paul Donnelly, Paul Kehoe, Pauline O'Reilly, Tim Lombard",18,2022-01-01T00:00:00.000000
Dogs Trust Ireland,81216,https://www.lobbying.ie/return/81216,Instinctif Partners Public Affairs Ireland,Community,Denis Naughten,1,2021-09-01T00:00:00.000000
Dogs Trust Ireland,81210,https://www.lobbying.ie/return/81210,Instinctif Partners Public Affairs Ireland,Community,"Charlie McConalogue, Emer Higgins, Jackie Cahill, Joan Collins, Lynn Boylan, Malcolm Noonan, Paschal Donohoe, Patrick Costello, Pippa Hackett, Róisín Shorthall, Seán Canney",11,2021-09-01T00:00:00.000000
Dogs Trust Ireland,62985,https://www.lobbying.ie/return/62985,Instinctif Partners Public Affairs Ireland,Community,Joe O'Brien,1,2020-05-01T00:00:00.000000
Dogs Trust Ireland,62989,https://www.lobbying.ie/return/62989,Instinctif Partners Public Affairs Ireland,Community,"Donal Gilroy, Jerome Scanlan, Noel Keelan",3,2020-05-01T00:00:00.000000
Dogs Trust Ireland,55487,https://www.lobbying.ie/return/55487,Instinctif Partners Public Affairs Ireland,Agriculture,Sean Canney,1,2019-09-01T00:00:00.000000
Dogs Trust Ireland,55489,https://www.lobbying.ie/return/55489,Instinctif Partners Public Affairs Ireland,Agriculture,"Charlie McConalogue, Jackie Cahill, Pat Deering, Thomas Pringle",4,2019-09-01T00:00:00.000000
Dogs Trust Ireland,49047,https://www.lobbying.ie/return/49047,Instinctif Partners Public Affairs Ireland,Agriculture,"Catherine Ardagh, Maureen O'Sullivan, Sean Canney",3,2019-01-01T00:00:00.000000
Dogs Trust Ireland,36745,https://www.lobbying.ie/return/36745,Instinctif Partners Public Affairs Ireland,Agriculture,"Andrew Doyle, Dessie Ellis, Gerry Adams, Gino Kenny, Jack Chambers, Joan Collins, Josepha Madigan, Liadh Ní Riada, Lynn Boylan, Matt Carthy, Maureen O'Sullivan, Nessa Childers, Noel Rock, Paul Murphy, Ruth Coppinger, Róisín Shorthall, Seán Kelly, Thomas Byrne, Tommy Broughan",19,2018-09-01T00:00:00.000000
Dogs Trust Ireland,36733,https://www.lobbying.ie/return/36733,Instinctif Partners Public Affairs Ireland,Agriculture,"Catherine Ardagh, Charlie McConalogue, Jackie Cahill, Pat Deering, Tommy Broughan",5,2018-09-01T00:00:00.000000
Dogs Trust Ireland,32692,https://www.lobbying.ie/return/32692,Instinctif Partners Public Affairs Ireland,Agriculture,"Caoimhghín Ó Caoláin, Catherine Martin, Darragh O'Brien, Eamon Ryan, Gerry Adams, Jack Chambers, Jackie Cahill, James Browne, Joan Collins, John Curran, John McGuinness, Josepha Madigan, Maureen O'Sullivan, Michael Creed, Mick Wallace, Pat Deering, Paul Kehoe, Paul Murphy, Ruth Coppinger, Tim Lombard, Tommy Broughan, Willie Penrose",22,2018-05-01T00:00:00.000000
Dogs Trust Ireland,28494,https://www.lobbying.ie/return/28494,Instinctif Partners Public Affairs Ireland,Agriculture,"Aengus Ó Snodaigh, Alan Farrell, Brendan Griffin, Brendan Howlin, Brendan Ryan, Bríd Smith, Caoimhghín Ó Caoláin, Catherine Byrne, Catherine Martin, Charlie McConalogue, Clare Daly, Colm Brophy, Dara Calleary, Darragh O'Brien, Denise Mitchell, Dessie Ellis, Eamon Ryan, Eamon Scanlon, Enda Kenny, Eoghan Murphy, Eoin Ó Broin, Finian McGrath, Frances Fitzgerald, Gino Kenny, Jack Chambers, Jackie Cahill, James Browne, Jim O'Callaghan, Joan Burton, Joan Collins, John Curran, John Lahart, Josepha Madigan, Kate O'Connell, Katherine Zappone, Lisa Chambers, Louise O'Reilly, Marc MacSharry, Marcella Corcoran Kennedy, Martin Ferris, Martin Kenny, Mary Lou McDonald, Maureen O'Sullivan, Michael Creed, Michael D'Arcy, Michael Ring, Mick Wallace, Niamh Smyth, Noel Grealish, Noel Rock, Paschal Donohoe, Pat Deering, Paul Daly, Paul Kehoe, Paul Murphy, Pádraig Mac Lochlainn, Richard Bruton, Ruth Coppinger, Róisín Shortall, Seán Crowe, Seán Haughey, Shane Ross, Thomas Byrne, Thomas Pringle, Tim Lombard, Tommy Broughan, Willie Penrose",67,2018-01-01T00:00:00.000000
Dogs Trust Ireland,28502,https://www.lobbying.ie/return/28502,Instinctif Partners Public Affairs Ireland,Agriculture,"Aengus Ó Snodaigh, Alan Farrell, Brendan Griffin, Brendan Howlin, Brendan Ryan, Bríd Smith, Caoimhghín Ó Caoláin, Catherine Byrne, Catherine Martin, Charlie McConalogue, Clare Daly, Colm Brophy, Dara Calleary, Darragh O'Brien, Deirdre Clune, Denise Mitchell, Dessie Ellis, Eamon Ryan, Eamon Scanlon, Enda Kenny, Eoghan Murphy, Eoin Ó Broin, Finian McGrath, Frances Fitzgerald, Gino Kenny, Jack Chambers, Jackie Cahill, James Browne, Jim O'Callaghan, Joan Burton, Joan Collins, John Curran, John Lahart, Josepha Madigan, Kate O'Connell, Katherine Zappone, Lisa Chambers, Louise O'Reilly, Marc MacSharry, Marcella Corcoran Kennedy, Martin Ferris, Martin Kenny, Mary Lou McDonald, Maureen O'Sullivan, Michael Creed, Michael D'Arcy, Michael Ring, Mick Wallace, Niamh Smyth, Noel Grealish, Noel Rock, Paschal Donohoe, Pat Deering, Paul Daly, Paul Kehoe, Paul Murphy, Pádraig Mac Lochlainn, Richard Bruton, Ruth Coppinger, Róisín Shortall, Seán Crowe, Seán Haughey, Shane Ross, Thomas Byrne, Thomas Pringle, Tim Lombard, Tommy Broughan, Willie Penrose",68,2018-01-01T00:00:00.000000
Dogs Trust Ireland,25049,https://www.lobbying.ie/return/25049,Instinctif Partners Public Affairs Ireland,Agriculture,"Brian Hayes, Nessa Childers, Tommy Broughan",3,2017-09-01T00:00:00.000000
Dogs Trust Ireland,21689,https://www.lobbying.ie/return/21689,Instinctif Partners Public Affairs Ireland,Agriculture,"Andrew Doyle, Brian Hayes, Catherine Byrne, Catherine Martin, Charlie McConalogue, Darragh O'Brien, Eamon Ryan, Eoghan Murphy, Eoin Ó Broin, Finian McGrath, Frances Fitzgerald, Gerry Adams, Jack Chambers, Jackie Cahill, Jim O'Callaghan, Joan Collins, John Curran, John McGuinness, Josepha Madigan, Kate O'Connell, Martin Kenny, Mary Lou McDonald, Maureen O'Sullivan, Michael Creed, Michael Ring, Michelle Mulherin, Mick Wallace, Nessa Childers, Paschal Donohoe, Pat Deering, Paul Daly, Pádraig Mac Lochlainn, Richard Boyd Barrett, Stephen Donnelly, Thomas Pringle, Tim Lombard, Tommy Broughan, Willie Penrose",38,2017-05-01T00:00:00.000000
Dogs Trust Ireland,17641,https://www.lobbying.ie/return/17641,Instinctif Partners Public Affairs Ireland,Agriculture,"Charlie McConalogue, Jackie Cahill, Martin Kenny, Michael W. D'Arcy, Michelle Mulherin, Pat Deering, Paul Daly, Pádraig Mac Lochlainn, Thomas Pringle, Tim Lombard, Willie Penrose",11,2017-01-01T00:00:00.000000
Dogs Trust Ireland ,105641,https://www.lobbying.ie/return/105641,Edelman Ireland,Agriculture,Regina Doherty,1,2023-09-01T00:00:00.000000
Dogs Trust Limited,17626,https://www.lobbying.ie/return/17626,Instinctif Partners Public Affairs Ireland,Agriculture,"Charlie McConalogue, Clare Daly, Jackie Cahill, Michael W. D'Arcy, Paul Murphy, Stephen Donnelly, Thomas Pringle, Tim Lombard, Tommy Broughan, Willie Penrose",10,2017-01-01T00:00:00.000000
Dominic Fagan,78342,https://www.lobbying.ie/return/78342,Gerard Brady Estate Agents Ltd.,Economic Development and Industry,"Carmel Kelly, Fintan Brett",2,2021-09-01T00:00:00.000000
Dominic Keogh,142711,https://www.lobbying.ie/return/142711,Douglas Hyde,Development and Zoning,"AnnMarie Farrelly, Roisin Burke",2,2026-01-01T00:00:00.000000
Donna Reay,31669,https://www.lobbying.ie/return/31669,ISC Intelligence in Science,EU Affairs,Seán Kelly,1,2018-05-01T00:00:00.000000
Doran Motors Limited,35565,https://www.lobbying.ie/return/35565,Volkswagen Group Ireland Limited,Development and Zoning,Heather Humphreys,1,2018-09-01T00:00:00.000000
Dott,84270,https://www.lobbying.ie/return/84270,150Bond,Transport,Kieran O'Donnell,1,2022-01-01T00:00:00.000000
Dott,79940,https://www.lobbying.ie/return/79940,150Bond,Transport,"Aengus Ó Snodaigh, Alan Farrell, Anne Feeney, Aodhán Ó Ríordáin, Bríd Smith, Caroline Conroy, Carolyn Moore, Catherine Martin, Chris Andrews, Christy Burke, Cian O'Callaghan, Colm Brophy, Cormac Devlin, Daniel Céitinn, Darragh O'Brien, Darren O'Rourke, Deirdre Conroy, Denise Mitchell, Dessie Ellis, Duncan Smith, Eamon Ryan, Emer Higgins, Eoin Ó Broin, Francis Noel Duffy, Gary Gannon, Gino Kenny, Hazel Chu, Ivana Bacik, Jack Chambers, Jane Horgan-Jones, Janet Horner, Jennifer Carroll MacNeill, Jim O'Callaghan, Joan Collins, Joe O'Brien, John Lahart, Josepha Madigan, Keith Connolly, Larry O'Toole, Leo Varadkar, Louise O'Reilly, Mannix Flynn, Mark Ward, Mary Lou McDonald, Michael Pidgeon, Neale Richmond, Neasa Hourigan, Ossian Smyth, Paddy McCartan, Paschal Donohoe, Patrick Costello, Paul Donnelly, Paul McAuliffe, Paul Murphy, Richard Boyd Barrett, Richard Bruton, Roderic O'Gorman, Róisín Shorthall, Seán Crowe, Seán Haughey",60,2021-09-01T00:00:00.000000
Douglasdale,114499,https://www.lobbying.ie/return/114499,Unique Media Ltd,Health,Simon Harris,1,2024-05-01T00:00:00.000000
Down Syndrome Centre,89307,https://www.lobbying.ie/return/89307,Insight Consultants,Education and Training,"Anne Rabbitte, Cormac Devlin, Micheál Martin",3,2022-05-01T00:00:00.000000
Down Syndrome Centre,83800,https://www.lobbying.ie/return/83800,Insight Consultants,Education and Training,"Anne Rabbitte, Cormac Devlin",2,2022-01-01T00:00:00.000000
"Dr Tim Campbell, Project Director, St Patrick Centre",33972,https://www.lobbying.ie/return/33972,Margaret Ritchie Consultancy,Arts,Fergal Mythen,1,2018-09-01T00:00:00.000000
Dress for Success,67070,https://www.lobbying.ie/return/67070,Alice Public Relations,Justice and Equality,Lorraine Clifford-Lee,1,2020-09-01T00:00:00.000000
Dress for Success,67194,https://www.lobbying.ie/return/67194,Alice Public Relations,Justice and Equality,"Emer Currie, Eva-Elizabeth Dowling, Garrett Ahern, Jennifer Carroll MacNeill, Lorraine Clifford-Lee, Martin Browne, Mary Seery Kearney",7,2020-09-01T00:00:00.000000
Dress for Success,67387,https://www.lobbying.ie/return/67387,Alice Public Relations,Justice and Equality,"Aisling Dolan, Emer Currie, Erin McGreehan, Eva-Elizabeth Dowling, Fiona O'Loughlin, Ivana Bacik, Lisa Chambers, Lorraine Clifford-Lee, Mary Seery Kearney, Patrick Costello, Sorca Clarke",11,2020-09-01T00:00:00.000000
Dress for Success Dublin,75639,https://www.lobbying.ie/return/75639,Alice Public Relations,Justice and Equality,"Bernard Durkan, Emer Currie, Lorraine Clifford-Lee",3,2021-05-01T00:00:00.000000
Dress for Success Dublin,55358,https://www.lobbying.ie/return/55358,Alice Public Relations,Justice and Equality,"Adrian Henchy, Ann Graves, Anthony Lavin, Aoibhinn Tormey, Breda Hanaphy, Brian Dennehy, Brian McDonagh, Brigid Manton, Cathal Boland, Cian O'Callaghan, Claire Byrne, Daniel Whooley, Darragh Butler, David Healy, Dean Mulligan, Duncan Smith, Emer Currie, Eoghan O'Brien, Eva-Elizabeth Dowling, Freddie Cooper, Gráinne Maguire, Howard Mahony, Ian Carey, Jimmy Guerin, Joe Newman, Joe O'Brien, John Burtchaell, John Walsh, Justin Sinnott, Kieran Dennison, Lorna Nolan, Mags Murray, Malachy Quinn, Mary McCamley, Natalie Treacy, Paul Donnelly, Paul Mulville, Peter Kavanagh, Philip Lynam, Punam Rane, Robert O'Donoghue, Roderic O'Gorman, Sandra Kavanagh, Seána Ó Rodaigh, Shay Brennan, Tania Doyle, Ted Leddy, Tom Kitt, Tom O'Leary, Tony Murphy",50,2019-09-01T00:00:00.000000
Dress for Success Dublin,48922,https://www.lobbying.ie/return/48922,Alice Public Relations,Justice and Equality,"Bríd Smith, Lorraine Clifford-Lee",2,2019-01-01T00:00:00.000000
Dress for Success Dublin,48902,https://www.lobbying.ie/return/48902,Alice Public Relations,Justice and Equality,"Catherine Ardagh, Catherine Noone, Grace O'Sullivan, Hildegarde Naughton, Joan Burton, Kate O'Connell, Lisa Chambers, Lorraine Clifford-Lee, Margaret Murphy O'Mahony, Maria Bailey, Mary Mitchell O'Connor",11,2019-01-01T00:00:00.000000
